*WERSJA VULCAN,,,,,,,
PLAN LEKCJI 3B,,,,,,,
,,,,,,,
BLOK,,PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
0,8:00 - 8:45,,WF,,,
,8:45 - 9:30,,WF,,,WF
,,,,,,,
1,10:00 - 10:45,*,CHEMIA A2,J. POLSKI A1,*,*
,10:45 - 11:30,*,CHEMIA A2,J. POLSKI A1,*,*
2,11:35 - 12:20,INFORMATYKA B3,J. POLSKI A1,J. HISZPAŃSKI B9,G. WYCH. B3,J. ANGIELSKI B3
,12:20 - 13:05,INFORMATYKA B3,J. POLSKI A1,J. HISZPAŃSKI B9,G. WYCH. B3,J. ANGIELSKI B3
,,,,,,,
3,13:55 - 14:40,EZ B9,J. ANGIELSKI A1 i B3 (podział na grupy),J. ANGIELSKI B7 i B9 (podział na grupy),MATEMATYKA B7,MATEMATYKA B9
,14:40 - 15:25,EZ B9,J. ANGIELSKI A1 i B3 (podział na grupy),J. ANGIELSKI B7 i B9 (podział na grupy),MATEMATYKA B7,MATEMATYKA B9
4,15:30 - 16:15,BIOLOGIA B9,MATEMATYKA B7,GEOGRAFIA B3,HISTORIA B8,FIZYKA B8
,16:15 - 17:00,BIOLOGIA B9,MATEMATYKA B7,GEOGRAFIA B3,HISTORIA B8,FIZYKA B8
,,,,,,,



