*WERSJA VULCAN,,,,,,,,
PLAN LEKCJI 1A,,,,,,,,
,,,,,,,,
BLOK,,PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
0,8:00 - 8:45,WF,,,WF,
,8:45 - 9:30,WF,,,,,
,,,,,,,,
1,10:00 - 10:45,J. ANGIELSKI,*,J. ANGIELSKI,*,FIZYKA
,10:45 - 11:30,J. ANGIELSKI,*,J. ANGIELSKI,G. WYCH,,
2,11:35 - 12:20,EZ,BIZ,J. POLSKI,MATEMATYKA,J. POLSKI
,12:20 - 13:05,BIOLOGIA,BIZ,J. POLSKI,MATEMATYKA,,
,,,,,,,,
3,13:55 - 14:40,*,CHEMIA,J. HISZPAŃSKI,EDB,J. ANGIELSKI
,14:40 - 15:25,*,CHEMIA,J. HISZPAŃSKI,INFORMATYKA,,
4,15:30 - 16:15,*,GEOGRAFIA,MATEMATYKA,HISTORIA,FILOZOFIA
,16:15 - 17:00,*,,MATEMATYKA,HISTORIA,,
,,,,,,,,

